x,y,width,height,area
1304,49,13,37,349
940,155,15,22,330
1064,284,27,16,337
1508,285,18,21,331
1524,286,27,21,446
2243,297,33,11,313
422,491,22,21,462
480,490,23,22,476
537,490,23,22,438
596,490,23,21,455
654,491,24,21,463
714,491,23,21,466
772,492,22,21,462
831,493,23,21,471
889,494,22,21,462
945,495,23,22,462
1003,496,22,22,465
1234,497,23,21,441
1291,496,22,21,437
1350,496,22,21,428
1406,496,22,21,430
1465,496,22,21,448
1523,497,22,21,447
1061,498,22,21,430
1120,499,22,21,462
1176,498,22,21,446
1579,498,22,21,417
1634,499,21,21,424
1693,499,21,21,441
1749,500,22,21,443
1809,501,22,20,440
1865,501,22,21,462
1923,502,21,21,441
1978,503,22,21,451
2035,504,23,21,451
2091,505,22,20,440
2146,505,23,20,427
2295,507,22,20,440
482,579,23,22,459
539,579,23,22,450
599,578,22,23,506
716,578,22,21,443
832,579,23,22,452
424,580,22,21,462
656,580,23,21,450
774,581,21,21,409
890,581,23,21,451
1236,583,22,21,462
1292,582,22,21,430
1408,582,21,21,425
947,584,22,21,462
1004,585,23,21,471
1122,585,21,21,441
1351,584,22,21,462
1466,585,21,20,420
1524,585,22,21,430
1063,586,22,21,444
1177,586,23,21,452
1580,586,22,21,444
1634,587,22,21,445
1693,586,22,21,444
1749,588,22,22,466
1809,590,22,20,440
1865,590,22,20,422
1923,591,22,20,414
1979,591,21,20,420
2037,591,22,20,429
2092,591,22,21,425
2297,591,22,20,440
2148,592,21,20,420
426,673,22,21,452
485,673,22,21,462
542,673,22,21,462
600,673,23,21,468
658,673,23,21,483
717,674,23,21,453
775,674,22,21,445
834,674,23,22,411
892,676,22,21,446
948,676,23,22,470
1006,677,22,21,462
1237,677,22,21,462
1293,677,23,20,397
1352,677,22,20,423
1409,677,22,21,441
1467,677,22,21,449
1064,678,22,21,451
1123,679,21,21,424
1179,678,22,21,423
1525,678,22,21,462
1581,679,21,20,420
1635,680,22,21,427
1694,681,21,20,420
1750,681,22,20,421
1810,681,22,21,427
1866,682,22,20,422
1924,682,22,20,423
1980,682,21,20,402
2037,683,22,21,428
2093,683,21,20,420
2148,683,22,20,440
2298,682,22,20,424
428,762,22,21,443
487,762,22,22,471
544,762,22,21,443
602,762,23,21,483
660,762,23,21,456
719,763,23,20,427
777,763,22,21,433
836,764,23,21,473
893,765,23,20,449
1295,765,21,21,408
1353,765,22,21,447
950,766,22,21,418
1007,766,22,22,450
1066,767,22,21,449
1180,767,22,21,462
1238,766,23,21,439
1409,766,22,20,423
1468,766,22,20,429
1526,767,22,20,422
1124,768,21,20,420
1582,768,22,20,429
1636,769,21,20,420
1694,769,22,21,444
1750,769,22,21,411
1810,769,23,21,450
2300,768,22,20,440
1867,770,22,20,440
1925,770,21,20,420
1980,771,21,20,420
2038,771,22,20,413
2093,771,22,20,440
2149,770,22,21,444
432,948,22,22,453
491,949,22,21,428
548,949,22,20,425
606,949,23,21,425
663,948,23,21,483
723,948,22,22,445
780,949,22,21,462
839,949,23,22,471
896,950,22,22,466
953,950,22,22,466
1009,951,23,21,483
1068,951,22,21,450
1126,951,22,21,444
1182,951,22,21,462
1241,950,22,22,469
1297,950,22,21,462
1356,950,21,22,447
1411,950,22,22,451
1469,951,23,21,452
1528,951,22,21,462
1584,951,22,21,445
2303,950,22,20,440
1638,952,22,21,449
1696,953,22,21,447
1752,953,22,21,462
1812,953,22,21,462
1868,953,22,21,462
1926,953,21,21,425
2039,953,22,21,430
2095,953,22,21,462
2151,952,22,22,472
1981,954,23,20,423
493,1041,22,21,428
550,1041,22,21,434
608,1041,22,20,440
665,1041,23,20,460
724,1041,22,20,440
781,1041,23,20,443
840,1041,23,20,425
2304,1040,23,20,460
435,1042,22,20,429
897,1042,23,21,449
954,1042,23,21,433
1011,1043,22,20,440
1070,1043,21,20,420
1128,1043,21,20,420
1184,1043,22,19,418
1242,1042,22,21,432
1298,1042,22,20,425
1357,1043,21,20,420
1413,1043,21,20,420
1470,1043,22,20,440
1529,1043,21,20,420
1584,1043,23,20,444
1639,1043,21,21,412
2151,1043,23,20,443
1697,1044,22,20,423
1753,1045,21,20,420
1813,1045,21,20,420
1869,1045,22,20,423
1927,1044,21,20,401
1983,1045,21,19,399
2041,1044,21,20,409
2096,1044,22,20,440
1299,1127,22,23,506
2306,1126,22,20,440
437,1129,22,21,462
495,1129,23,21,469
552,1129,21,21,441
610,1129,23,21,448
667,1129,23,20,443
726,1129,22,20,440
783,1128,22,21,462
841,1129,24,21,484
899,1129,22,21,462
956,1129,22,21,462
1012,1129,23,21,468
1071,1129,21,21,441
1129,1129,22,21,445
1185,1129,22,20,440
1243,1129,22,20,440
1358,1129,21,21,441
1414,1129,21,21,441
1471,1129,22,21,444
2153,1129,22,21,462
1529,1130,22,20,440
1585,1130,23,20,430
1640,1130,21,20,420
1697,1131,22,20,440
1753,1131,22,20,424
1813,1131,22,20,425
1869,1131,22,20,440
1928,1130,21,21,441
1983,1130,22,20,440
2041,1130,22,20,440
2097,1130,22,20,440
1824,1250,35,14,346
2307,1303,23,21,466
1986,1307,22,20,423
2044,1307,21,20,420
2100,1307,22,20,440
2155,1307,21,20,420
440,1309,23,21,437
499,1309,22,20,440
555,1309,23,21,448
614,1309,22,21,443
671,1309,23,21,468
730,1309,22,20,423
787,1308,22,21,412
845,1308,22,21,444
902,1308,22,21,450
958,1308,22,21,428
1015,1308,22,21,447
1073,1308,22,21,413
1131,1308,22,20,410
1187,1308,22,20,440
1245,1308,22,20,424
1301,1308,22,20,410
1359,1308,22,21,446
1415,1308,22,21,426
1472,1308,23,21,437
1531,1308,22,21,435
1587,1309,21,20,420
1641,1309,21,20,420
1699,1309,22,20,440
1755,1309,21,20,420
1815,1308,22,20,423
1871,1308,23,20,444
1930,1308,21,20,420
2308,1397,23,21,483
1246,1401,23,21,382
1757,1401,22,21,406
1817,1401,21,20,420
1873,1401,22,21,427
1931,1401,21,20,420
1986,1400,22,21,432
2044,1401,22,20,440
2100,1401,22,20,409
2155,1400,23,21,431
442,1402,21,20,420
500,1402,23,20,432
557,1402,22,20,405
616,1402,22,21,449
673,1403,22,19,418
732,1402,21,21,404
788,1402,23,21,429
847,1402,22,21,450
903,1402,23,20,443
960,1402,22,21,449
1016,1402,23,20,443
1075,1402,22,20,423
1133,1402,21,20,420
1188,1402,23,20,427
1302,1402,22,20,408
1360,1402,22,20,424
1416,1402,22,20,424
1474,1402,22,20,424
1532,1402,22,20,429
1587,1402,22,20,423
1642,1402,21,20,375
1700,1402,22,20,425
2307,1485,24,19,440
2044,1487,22,20,440
2100,1487,22,20,440
2155,1487,23,20,460
443,1489,22,21,462
502,1489,22,21,444
617,1489,23,21,446
674,1489,23,21,469
734,1489,21,21,441
790,1489,22,21,445
848,1489,22,20,440
905,1489,22,20,425
961,1489,22,20,425
1017,1488,23,21,400
1076,1489,22,20,406
1134,1489,21,20,404
1189,1489,23,19,421
1248,1488,22,20,423
1303,1488,22,21,415
1362,1488,21,21,407
1417,1489,22,19,402
1475,1488,22,20,440
