x,y,width,height,area,group_number,classification
422,491,22,21,462,1,1
480,490,23,22,476,1,0
537,490,23,22,438,1,0
596,490,23,21,455,1,0
654,491,24,21,463,1,1
714,491,23,21,466,1,0
772,492,22,21,462,1,0
831,493,23,21,471,1,1
889,494,22,21,462,1,0
945,495,23,22,462,1,1
1003,496,22,22,465,1,0
1061,498,22,21,430,1,0
1120,499,22,21,462,1,1
1176,498,22,21,446,1,0
1234,497,23,21,441,1,0
1291,496,22,21,437,1,1
1350,496,22,21,428,1,0
1406,496,22,21,430,1,1
1465,496,22,21,448,1,1
1523,497,22,21,447,1,0
1579,498,22,21,417,1,1
1634,499,21,21,424,1,0
1693,499,21,21,441,1,0
1749,500,22,21,443,1,0
1809,501,22,20,440,1,0
1865,501,22,21,462,1,0
1923,502,21,21,441,1,0
1978,503,22,21,451,1,0
2035,504,23,21,451,1,1
2091,505,22,20,440,1,0
2146,505,23,20,427,1,0
2295,507,22,20,440,1,0
424,580,22,21,462,2,0
482,579,23,22,459,2,0
539,579,23,22,450,2,0
599,578,22,23,506,2,1
656,580,23,21,450,2,0
716,578,22,21,443,2,0
774,581,21,21,409,2,0
832,579,23,22,452,2,0
890,581,23,21,451,2,0
947,584,22,21,462,2,0
1004,585,23,21,471,2,0
1063,586,22,21,444,2,0
1122,585,21,21,441,2,0
1177,586,23,21,452,2,0
1236,583,22,21,462,2,0
1292,582,22,21,430,2,0
1351,584,22,21,462,2,0
1408,582,21,21,425,2,0
1466,585,21,20,420,2,0
1524,585,22,21,430,2,0
1580,586,22,21,444,2,0
1634,587,22,21,445,2,0
1693,586,22,21,444,2,0
1749,588,22,22,466,2,0
1809,590,22,20,440,2,0
1865,590,22,20,422,2,0
1923,591,22,20,414,2,1
1979,591,21,20,420,2,0
2037,591,22,20,429,2,0
2092,591,22,21,425,2,0
2148,592,21,20,420,2,0
2297,591,22,20,440,2,1
426,673,22,21,452,3,1
485,673,22,21,462,3,1
542,673,22,21,462,3,1
600,673,23,21,468,3,1
658,673,23,21,483,3,0
717,674,23,21,453,3,1
775,674,22,21,445,3,0
834,674,23,22,411,3,1
892,676,22,21,446,3,0
948,676,23,22,470,3,1
1006,677,22,21,462,3,0
1064,678,22,21,451,3,1
1123,679,21,21,424,3,0
1179,678,22,21,423,3,1
1237,677,22,21,462,3,0
1293,677,23,20,397,3,1
1352,677,22,20,423,3,0
1409,677,22,21,441,3,1
1467,677,22,21,449,3,0
1525,678,22,21,462,3,1
1581,679,21,20,420,3,0
1635,680,22,21,427,3,1
1694,681,21,20,420,3,0
1750,681,22,20,421,3,0
1810,681,22,21,427,3,0
1866,682,22,20,422,3,0
1924,682,22,20,423,3,0
